rank,feature_index,target_label,target_subtype,target_n,other_n,target_mean,other_mean,target_minus_others,specificity_z,p_value,fdr,feature_name,gene_symbol,entrez_id
200,317,2,HER2-enriched,46,829,0.3270130607279284,0.2284843404338218,0.09852872029410661,0.4919632568991603,,,FABP7|2173,FABP7,2173
201,557,2,HER2-enriched,46,829,0.6242637272653596,0.6032578001109232,0.021005927154436388,0.4902951747574795,,,MCM7|4176,MCM7,4176
202,883,2,HER2-enriched,46,829,0.1646218162100437,0.10930423335996581,0.0553175828500779,0.4889322412030279,,,TCAM1P|146771,TCAM1P,146771
203,286,2,HER2-enriched,46,829,0.5027359978466518,0.48331158670184277,0.01942441114480903,0.48795621072817197,,,DSN1|79980,DSN1,79980
204,686,2,HER2-enriched,46,829,0.4377501377937223,0.416063428724712,0.021686709069010268,0.4878152283213368,,,POP1|10940,POP1,10940
205,211,2,HER2-enriched,46,829,0.5077862092628642,0.47083490599695976,0.036951303265904456,0.4877397931931765,,,CKS2|1164,CKS2,1164
206,679,2,HER2-enriched,46,829,0.510207951192804,0.4984062765623788,0.011801674630425252,0.48516861797422434,,,PNO1|56902,PNO1,56902
207,716,2,HER2-enriched,46,829,0.4688819918730004,0.4230702418261417,0.04581175004685867,0.4850503473436351,,,PTTG1|9232,PTTG1,9232
208,400,2,HER2-enriched,46,829,0.17284411619373855,0.13229922686982284,0.0405448893239157,0.4838010936342226,,,GPR156|165829,GPR156,165829
209,808,2,HER2-enriched,46,829,0.380684810194226,0.3335051864538487,0.04717962374037732,0.48238766315036763,,,SKA1|220134,SKA1,220134
210,675,2,HER2-enriched,46,829,0.42162164232167476,0.3916181150646754,0.03000352725699934,0.4822013077780781,,,PLK4|10733,PLK4,10733
211,654,2,HER2-enriched,46,829,0.550929565816932,0.5270022991687877,0.023927266648144263,0.48172718363192263,,,PDE7A|5150,PDE7A,5150
212,980,2,HER2-enriched,46,829,0.701104546262087,0.681413331329518,0.01969121493256898,0.4793995886576031,,,YBX1|4904,YBX1,4904
213,580,2,HER2-enriched,46,829,0.5956371126943111,0.5809966651003489,0.014640447593962214,0.4768211263701614,,,MSH6|2956,MSH6,2956
214,895,2,HER2-enriched,46,829,0.42659265410090264,0.4075085625932583,0.01908409150764434,0.46836444032033114,,,TIGD2|166815,TIGD2,166815
215,75,2,HER2-enriched,46,829,0.4067158765332755,0.37343564529466305,0.03328023123861246,0.46543024006991496,,,BLM|641,BLM,641
216,362,2,HER2-enriched,46,829,0.5267884942579809,0.47751723814927327,0.04927125610870764,0.4646057358883134,,,FOXM1|2305,FOXM1,2305
217,337,2,HER2-enriched,46,829,0.2649075210488585,0.22289254678587847,0.04201497426298004,0.4637107067172437,,,FAM72A|729533,FAM72A,729533
218,602,2,HER2-enriched,46,829,0.43176982113251716,0.38472173104378804,0.04704809008872912,0.4632072894894008,,,NDC80|10403,NDC80,10403
