projection_1,projection_2,projection_method,subtype_id,subtype,Luminal subtype signature,HER2-enriched subtype signature,Basal-like subtype signature
-0.65894413,-5.7581735,PCA,3,Basal-like,0.6607308029632897,-0.4145244239131079,-0.036027105828267875
21.403503,1.5796065,PCA,1,Luminal B,1.8001854240573973,0.7239678077814076,-1.6412732231514613
-6.9551272,0.45178938,PCA,3,Basal-like,-0.44928636362993796,-0.16649410729986372,0.9801390539450965
-5.4212766,-2.4011128,PCA,3,Basal-like,-0.6402329956391379,-0.44108300666589945,0.4417042182780442
4.166017,-4.2828436,PCA,1,Luminal B,-0.25579219592640334,-0.06970869688908986,-1.363610860822191
19.811577,0.34776354,PCA,1,Luminal B,1.3073721182782865,1.0672100676656815,-1.313245166638055
0.5779896,-4.6617885,PCA,1,Luminal B,0.9655034619027082,-0.30756298806009513,-0.3726210632296406
2.1465483,-4.7074156,PCA,0,Luminal A,0.6310587662150092,-0.21015977733585725,-0.04102499835247661
3.654075,-3.4783697,PCA,0,Luminal A,0.9441838892549833,0.5786519205134293,-0.3797087490136217
-7.797075,2.0847821,PCA,3,Basal-like,-0.5176108385582785,-0.8067982918388292,0.74653100872873
-1.1419435,-5.4429655,PCA,3,Basal-like,0.680261661184532,-0.2723236331000678,-0.18415870288052125
-0.7664267,-5.4126663,PCA,4,Normal-like,-0.2615566400362795,-0.7265069371796291,-0.5755363809322582
-8.127514,5.528279,PCA,3,Basal-like,-0.9724034063476867,-1.0947930227125005,0.943725314368513
0.34498832,-5.1124997,PCA,0,Luminal A,0.8672123709235129,0.513366838709482,-0.17604868162612414
25.038794,2.5209107,PCA,1,Luminal B,1.8023417958121601,1.4005820597939167,-1.3487414666612243
-5.8264728,-1.7142527,PCA,3,Basal-like,-0.41426562260983607,-0.32675597221717156,0.6554745639554923
4.6127625,-2.7285428,PCA,0,Luminal A,0.12094266934276719,0.8457327428575808,-0.8656011007085445
-5.008677,1.4940953,PCA,3,Basal-like,-0.6259980433936791,-0.4302940645473255,1.2429373706344697
-8.575485,0.9038539,PCA,3,Basal-like,-1.0909964590189185,-0.7846381533133865,1.1609656435008138
-5.5211363,-2.25371,PCA,3,Basal-like,-0.7668635635769085,-0.6449569211333713,0.32080047665434974
0.15552974,-4.9914722,PCA,3,Basal-like,1.2860481024113921,-0.2580201457534659,-0.6165834762296665
-6.3299456,-0.7959647,PCA,3,Basal-like,-0.5708217292114166,-0.3597805642200151,0.8563745506172027
-5.284724,12.14171,PCA,4,Normal-like,-1.024098321860439,-0.053835673625333424,0.47641311753692966
-6.6303167,-2.4060369,PCA,3,Basal-like,-1.1663441424918926,-1.016433666073999,0.41574344934395957
2.3355246,-4.0001245,PCA,4,Normal-like,1.0392721423113167,-0.26982511426155664,-0.4522988917544783
-5.8165445,0.28565168,PCA,3,Basal-like,-0.3690911524269477,-0.3940191686160461,0.6850486282757486
1.8605927,-4.0760617,PCA,0,Luminal A,0.8070519302564738,-0.3730175808338215,-0.6590602975626555
-2.4174113,-5.0050387,PCA,3,Basal-like,-0.23689248056371576,-1.0300045105398181,-0.9092377640880283
-4.845872,0.77553415,PCA,3,Basal-like,-0.4042818873545983,-0.706729919347569,1.0021196070475047
-5.1829476,2.624927,PCA,4,Normal-like,-0.17371046239850182,0.020559355970808935,0.5581097363600277
