projection_1,projection_2,projection_method,subtype_id,subtype,Normal-like signature,Basal-like signature,Luminal subtype signature,HER2-enriched subtype signature
-6.3020396,-0.7382779,PCA,3,Luminal A,-0.09563189763717923,-0.13133017521509927,0.5597084877719825,-0.2504548505644888
3.4734073,-3.5152063,PCA,0,Normal-like,1.4870019922013473,0.16758998914764728,-0.2997292169467843,-0.26982511426155664
20.87739,1.8569741,PCA,1,Basal-like,-0.5377395992878802,0.2053047212095813,-1.079692848482841,0.3301961083709706
-6.7376323,10.003454,PCA,4,Luminal B,-0.795580484558045,-0.3972045685756545,0.5988495663279225,-0.29360403003080615
-4.2984905,-1.7236996,PCA,3,Luminal A,0.33131799369883347,-0.2828811338596731,0.7115920072862394,-0.46746626441117534
19.839039,0.68752813,PCA,1,Basal-like,-0.3776276732764946,1.6229328829995122,-2.020472234809238,0.9467718441790375
-4.452434,-5.49105,PCA,3,Luminal A,-0.2990979952943843,-0.04690198706454837,-0.01889367464343865,-0.5177053008037487
-0.6178733,-5.4118094,PCA,3,Luminal A,1.4649329418719568,0.11061192043898216,0.10764646183164092,-0.25856933550691025
-7.904801,5.664991,PCA,3,Luminal A,-1.1153688392804004,-0.7451363126689408,1.099767914547183,-0.7234814576383832
-7.194369,0.6559229,PCA,3,Luminal A,-0.6450450898066599,-0.6098695127816602,0.7039197052485745,-0.24323258926180433
1.2892722,8.73118,PCA,2,HER2-enriched,-0.7860880707351295,-0.4836729576615324,-0.7387268947563739,1.2749940168478346
-5.1027427,8.0121975,PCA,4,Luminal B,-0.25330997836017466,-0.299511067277209,0.40937605237710567,-0.09483528288231721
-3.041977,-3.2848892,PCA,3,Luminal A,0.028629459262252528,-0.32870527088349144,0.651216259456042,-0.458316235590846
-1.2346269,-5.4789653,PCA,0,Normal-like,0.5590096636616158,-0.22514494371695853,-0.03499259120016611,-0.0333705630417061
-7.0594993,-1.0296812,PCA,3,Luminal A,-0.7963469948502461,-0.5548473766610417,0.7014605189563835,-0.670454692299711
0.028795898,-5.0559354,PCA,1,Basal-like,1.3455420194016114,-0.017536451665183122,0.16556145603707895,-0.16912372255588465
-0.9908587,2.417822,PCA,3,Luminal A,0.23048921245262802,-0.16481296336799922,0.5924122158208462,-0.2127030486607731
-4.5294003,-3.5806618,PCA,3,Luminal A,-0.5598033719424343,-0.06758590166408161,0.11647423775322863,0.916665991817389
-6.4516864,-0.8880191,PCA,3,Luminal A,-0.38641488122651946,-0.43649090807296087,0.6162054306584419,-0.31444324434396614
