pathName,Hit Ratio,Pvalue,metabolit,count,Term,Category,LogP,FDR_qvalue
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,RNASEH1,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,CDC6,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,CDC25A,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,CHEK1,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,MCM6,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,ORC1,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,RFC2,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,CDC45,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,DBF4,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,ORC6,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,MCM10,10,R-HSA-176187,Reactome Gene Sets,-16.5553870605,7.3185353398411e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,CDC6,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,MCM6,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,ORC1,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,RAD51,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,RFC2,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,CDK2AP1,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,CDC45,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,POLQ,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,ORC6,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,DONSON,14,GO:0006261,GO Biological Processes,-16.4655769978,7.974922663574923e-14
