feature_index,score,feature_name
475,0.24034965047404389,hsa-mir-766
412,0.23709611483480428,hsa-mir-548s
424,0.23430975143637067,hsa-mir-576
43,0.23264589530506954,hsa-mir-125b-2
417,0.2321777866113017,hsa-mir-551a
186,0.2280569259391546,hsa-mir-24-2
148,0.2264430349543315,hsa-mir-19b-2
5,0.22516642373434254,hsa-let-7d
85,0.2238500611178409,hsa-mir-139
426,0.22238899267069664,hsa-mir-579
204,0.22026579194325663,hsa-mir-30a
12,0.21978282892221243,hsa-mir-100
494,0.21886137201482278,hsa-mir-939
334,0.2185250591979538,hsa-mir-421
176,0.21494258678683256,hsa-mir-222
109,0.21365274666545322,hsa-mir-15b
92,0.21124982396012285,hsa-mir-1468
406,0.20642113274709215,hsa-mir-548b
16,0.20531415755591545,hsa-mir-103-2
137,0.20351348394828267,hsa-mir-195
311,0.20241426114693004,hsa-mir-378c
259,0.20109443357837237,hsa-mir-345
107,0.20089034527315366,hsa-mir-155
255,0.2008883059901635,hsa-mir-33a
500,0.20060988071761363,hsa-mir-98
10,0.2002583358546226,hsa-let-7i
30,0.19673980812211725,hsa-mir-1226
304,0.19638268698535513,hsa-mir-375
14,0.19552027745555992,hsa-mir-101-2
18,0.19440590486537138,hsa-mir-105-2
273,0.19134442029221718,hsa-mir-362
111,0.19022253061670363,hsa-mir-16-2
69,0.18866749823898113,hsa-mir-1304
17,0.1883570517789666,hsa-mir-105-1
298,0.18648258795656247,hsa-mir-3691
335,0.1849637640042365,hsa-mir-423
460,0.18334446987834965,hsa-mir-660
187,0.18168526188818598,hsa-mir-25
42,0.17949373146423322,hsa-mir-125b-1
56,0.17914384963275018,hsa-mir-128-1
120,0.17759655283705714,hsa-mir-183
477,0.17742363238118203,hsa-mir-769
175,0.17739373164194283,hsa-mir-221
54,0.1742827487572755,hsa-mir-1276
57,0.17276475403704822,hsa-mir-128-2
22,0.17180286298505457,hsa-mir-10a
354,0.171080761960157,hsa-mir-484
447,0.17095201481530892,hsa-mir-636
476,0.17082571249470418,hsa-mir-767
72,0.17065685995060945,hsa-mir-130a
91,0.16952380418761684,hsa-mir-145
499,0.16939361415257953,hsa-mir-96
163,0.16636912462254355,hsa-mir-2115
55,0.16611738388809347,hsa-mir-1277
434,0.16464202164137495,hsa-mir-592
203,0.16363233522143225,hsa-mir-3074
257,0.16283271096415738,hsa-mir-340
193,0.1623071652292854,hsa-mir-28
38,0.1614769736959236,hsa-mir-1254
114,0.16040086193881886,hsa-mir-181a-2
94,0.16030246404706783,hsa-mir-146b
252,0.15799126178040818,hsa-mir-337
439,0.15658644948489847,hsa-mir-616
321,0.15628178763932268,hsa-mir-3922
98,0.1537700234550848,hsa-mir-149
432,0.15242762594005296,hsa-mir-589
119,0.15188116784724798,hsa-mir-182
86,0.1518256666902994,hsa-mir-140
122,0.15134605737342427,hsa-mir-185
191,0.15070689481865793,hsa-mir-27a
422,0.15005007856674493,hsa-mir-570
324,0.14808533097573984,hsa-mir-3928
314,0.14786396917712402,hsa-mir-381
159,0.14773794777288143,hsa-mir-21
270,0.1470841078630886,hsa-mir-3614
215,0.1454985996821666,hsa-mir-3136
292,0.14518343299377265,hsa-mir-3680
93,0.14360613368506833,hsa-mir-146a
250,0.14341328412510787,hsa-mir-331
258,0.1426360803691038,hsa-mir-342
97,0.1412985319799139,hsa-mir-148b
40,0.14099297126854765,hsa-mir-1258
275,0.13906953698563868,hsa-mir-3622a
177,0.13838088315610952,hsa-mir-223
364,0.1378212549573594,hsa-mir-495
312,0.13765601302604874,hsa-mir-379
287,0.13717810427050312,hsa-mir-3664
269,0.1368137778232551,hsa-mir-3613
316,0.13678502360127962,hsa-mir-383
88,0.136707729990829,hsa-mir-142
181,0.13645456433304315,hsa-mir-2355
199,0.1352573554890319,hsa-mir-29c
45,0.13456139198639222,hsa-mir-1262
182,0.1343892713767769,hsa-mir-23a
326,0.1343730153993221,hsa-mir-3940
286,0.1339978886944336,hsa-mir-3662
497,0.13329502845534086,hsa-mir-944
405,0.1330612013588926,hsa-mir-545
380,0.1314228982450392,hsa-mir-511-2
