feature_index,score,feature_name
276,0.6154920648566397,DNAL1|83544
243,0.6152284564493311,CXCL5|6374
261,0.6150408635738178,DEGS2|123099
533,0.614957555832957,LRTOMT|220074
747,0.6117962935981666,RFC4|5984
365,0.6114860491895736,FSCN1|6624
688,0.6113849277826741,POU5F1|5460
0,0.6101280454036793,?|90288
436,0.610082301904228,IGF2BP3|10643
96,0.6097404102742205,C15orf42|90381
351,0.6091128478812672,FERMT1|55612
464,0.6087783390511903,KDM4B|23030
268,0.6080156131793167,DLX6|1750
936,0.6046244455546032,TTC36|143941
876,0.6045229775121889,TADA2B|93624
356,0.6043519182291732,FLJ45983|399717
148,0.6040633226300628,CASC1|55259
289,0.6035542934408469,DYNLRB2|83657
301,0.603369091843573,ENO1|2023
630,0.6026341574926529,NUP93|9688
173,0.6010438611851809,CDC25A|993
392,0.6005678194733162,GMPS|8833
94,0.6004453402937474,C14orf45|80127
933,0.600196395433018,TSPAN1|10103
510,0.5995005797594363,LIN28B|389421
736,0.5981489068827133,RASGEF1C|255426
27,0.5977374825058085,AMY1A|276
501,0.5973335469741946,L3MBTL4|91133
331,0.5966801069549734,FAM19A3|284467
955,0.5958009383082217,UGT8|7368
188,0.5955775949943181,CENPA|1058
941,0.5955517785355307,TTYH1|57348
990,0.5950154849528208,ZMYND10|51364
141,0.594980600877873,CACNA2D2|9254
181,0.5948776641682887,CDCA7|83879
395,0.5939641501951018,GPD1L|23171
697,0.592932377095674,PRKX|5613
974,0.5926292701485197,WNT6|7475
981,0.5911189229531506,YEATS2|55689
820,0.5910747615957634,SLC26A9|115019
412,0.5910586944983566,GTPBP4|23560
147,0.5908248618590691,CAPN8|388743
334,0.590210930487438,FAM54A|113115
59,0.5900064266756406,AURKA|6790
547,0.5880999927158429,MAPK4|5596
40,0.5865367819498583,APBB2|323
372,0.5864318980804722,GABRP|2568
500,0.5856088071312965,KRT9|3857
556,0.5851296107810897,MCM6|4175
41,0.5842065576865855,APH1B|83464
844,0.5838697738556129,SOX11|6664
466,0.5815295860880885,KIAA0040|9674
529,0.581008468371548,LRP8|7804
528,0.5809836000690843,LRIG1|26018
126,0.5802986411351592,C7orf63|79846
12,0.5799847129355734,ACOT4|122970
182,0.5795746635107688,CDCA8|55143
849,0.5780287988809442,SPDEF|25803
552,0.5773500088228908,MCM10|55388
144,0.5769651555189843,CAMKV|79012
882,0.5764541036544342,TBX19|9095
821,0.573814946851605,SLC39A6|25800
900,0.5734665889742798,TLX3|30012
706,0.5719019574359655,PSMB2|5690
206,0.571806181790616,CHST2|9435
868,0.5717368694083806,SYBU|55638
244,0.5716426981835794,CXXC5|51523
538,0.5711880440664819,MAGEB4|4115
435,0.5691362282557373,IGF2BP2|10644
640,0.5687004248915816,ORC6L|23594
666,0.5686954653774952,PGPEP1|54858
349,0.5680909230396349,FBXO36|130888
323,0.5671205135310018,FAM136A|84908
762,0.5664473402480867,RNF103|7844
468,0.5661910434013849,KIAA0232|9778
874,0.5648857993581982,SYTL4|94121
116,0.5648221283971427,C4orf32|132720
812,0.5638922088737973,SLC15A1|6564
799,0.5637246946819874,SFRP1|6422
313,0.5634238440537322,EXOC6|54536
600,0.5623298781771073,NCRNA00092|100188953
208,0.5602266919844872,CIRBP|1153
133,0.5593391325516602,C9orf30|91283
193,0.5589317627064875,CENPO|79172
737,0.55880332459947,RBM17|84991
638,0.5582135806079211,OPRK1|4986
495,0.5570698178213046,KPNA2|3838
210,0.5557756158683437,CKS1B|1163
863,0.5536334936055961,STMN1|3925
755,0.5535843342471857,RIOK1|83732
855,0.5518315879403348,SRPK1|6732
926,0.5516751608933115,TRIP13|9319
327,0.5512655399196902,FAM174A|345757
387,0.5512040579293088,GJB3|2707
65,0.5512026789535405,BBS1|582
530,0.5505605594091177,LRRC46|90506
686,0.5504691547722909,POP1|10940
919,0.5486912108371159,TPX2|22974
945,0.5474605254634061,TUBB|203068
250,0.5467932813199128,CYP27C1|339761
155,0.5467277765466815,CCDC48|79825
157,0.5464053666449611,CCDC77|84318
296,0.5463348631224793,EFCAB6|64800
488,0.5449878346406897,KLHDC2|23588
17,0.5448726973505503,ADAMTS15|170689
410,0.5447381435739951,GSG2|83903
317,0.5447112282890243,FABP7|2173
764,0.5444960338079577,RNF8|9025
572,0.5441654617471681,MOAP1|64112
562,0.5436962738393535,MEMO1|51072
595,0.543297152734582,NCAPD2|9918
504,0.5429936439467752,LCMT2|9836
851,0.5429925143417159,SPEF2|79925
381,0.5428693775368539,GFRA3|2676
465,0.5427875244115682,KIAA0020|9933
931,0.5417313038848621,TSPAN13|27075
